id,time,P_Servers,P_Switches,E_All
1,0,959.4,249.11999999999995,1208.52
2,0,3688.2,544.9799999999999,4233.179999999999
3,0,2933.9000000000005,500.0999999999999,3434.0000000000005
4,59,3278.0999999999995,501.8399999999998,3779.939999999999
