time,join,cpu,bw,current,next
1,96,24.6,0.6,61,141
2,216,24.6,0.6,141,325
3,427,24.6,0.6,325,655
4,648,23.53740458,1.894748092,655,1099
5,875,20.48207461,5.756251137,1099,1463
6,1002,17.64661654,9.143526999,1463,1674
7,1318,16.24587814,10.37349462,1674,1787
8,1498,15.40514829,11.25254617,1787,1848
9,1710,14.83722944,11.89640152,1848,1925
10,2022,14.1625974,12.70967273,1925,1949
11,2191,13.97957927,12.8759569,1949,1982
0,41,0,0,0,41
1,106,24.6,0.6,41,134
2,212,24.6,0.6,134,307
3,385,24.352443,0.957100977,307,600
4,648,23.47733333,2.1155,600,1070
5,820,21.01420561,5.233345794,1070,1498
6,1096,17.39572764,9.50894526,1498,1712
7,1278,15.92757009,10.72609813,1712,1879
8,1468,14.53336881,12.4097339,1879,1872
9,1649,14.17094017,12.72458333,1872,1991
10,1897,13.72827725,13.17737318,1991,2041
11,2118,13.41414538,13.54023084,2041,2060
0,54,0,0,0,54
1,107,24.6,0.6,54,146
2,184,24.6,0.6,146,289
3,406,24.6,0.6,289,614
4,622,23.95374593,1.417947883,614,1032
5,828,20.85503876,5.329777132,1032,1440
6,1059,17.77833333,9.135506944,1440,1679
7,1294,16.24645622,10.37247767,1679,1685
8,1448,16.24486647,10.28340653,1685,1719
9,1688,16.26910995,10.2295288,1719,1836
10,1837,15.17342048,11.50788126,1836,1936
11,2066,14.23429752,12.59278409,1936,2029
0,58,0,0,0,58
1,106,24.6,0.6,58,146
2,209,24.6,0.6,146,326
3,455,24.51656442,0.696441718,326,684
4,638,23.02339181,2.708991228,684,1107
5,859,20.37597109,6.112158988,1107,1483
6,1038,17.52784895,9.303358058,1483,1736
7,1261,15.64147465,11.24360023,1736,1863
8,1523,14.64487386,12.20049383,1863,1966
9,1649,13.92085453,12.97707528,1966,2041
10,1871,13.36620825,13.61703831,2041,2034
11,2080,13.44402201,13.52768884,2034,2125
0,54,0,0,0,54
1,116,24.6,0.6,54,149
2,233,24.6,0.6,149,341
3,413,24.21759531,1.105894428,341,661
4,616,23.27715582,2.425642965,661,1067
5,869,20.19587629,6.160196813,1067,1472
6,1033,17.425,9.411392663,1472,1643
7,1257,16.3804017,10.32627511,1643,1739
8,1464,16.01023577,10.57886141,1739,1740
9,1630,16.07264368,10.45662069,1740,1894
10,1945,14.58057022,12.22728617,1894,1974
11,2155,13.94346505,12.95080547,1974,2039
0,45,0,0,0,45
1,104,24.6,0.6,45,129
2,202,24.6,0.6,129,285
3,444,24.6,0.6,285,649
4,648,23.55346687,1.977488444,649,1107
5,826,20.5862692,5.731336947,1107,1480
6,1065,17.62918919,9.172574324,1480,1754
7,1276,15.46020525,11.41290764,1754,1885
8,1478,14.42917772,12.44872149,1885,1918
9,1743,14.32846715,12.48404067,1918,1879
10,1811,14.10505588,12.7309207,1879,1855
11,2133,14.37250674,12.42177898,1855,1896
0,59,0,0,0,59
1,99,24.6,0.6,59,141
2,214,24.6,0.6,141,316
3,417,24.51392405,0.699493671,316,634
4,647,23.41766562,2.20714511,634,1084
5,781,20.31291513,6.057739852,1084,1452
6,1065,17.984573,8.891742424,1452,1737
7,1223,15.76131261,11.15507772,1737,1933
8,1551,14.17268495,12.97954992,1933,2031
9,1684,13.42523411,13.5381863,2031,2095
10,1949,13.09874638,13.94661041,2095,2164
11,2082,13.0184438,13.98691643,2164,2127
